#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
RMDv1_0000000030	1286631.X805_38870	1.56e-14	91.7	COG2304@1|root,COG2304@2|Bacteria,1QU09@1224|Proteobacteria,2WGS7@28216|Betaproteobacteria	28216|Betaproteobacteria	M	Outer membrane adhesin like proteiin	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta,VWA_2
RMDv1_0000000031	592029.DDD_2081	1.45e-80	311.0	COG1361@1|root,COG1520@1|root,COG2373@1|root,COG2911@1|root,COG3170@1|root,COG4932@1|root,COG1361@2|Bacteria,COG1520@2|Bacteria,COG2373@2|Bacteria,COG2911@2|Bacteria,COG3170@2|Bacteria,COG4932@2|Bacteria,4NMB8@976|Bacteroidetes,1HYNW@117743|Flavobacteriia,3HJ80@363408|Nonlabens	976|Bacteroidetes	M	C-terminal domain of CHU protein family	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,DUF11,SdrD_B
RMDv1_0000000032	40571.JOEA01000005_gene4003	0.0	5286.0	COG1020@1|root,COG1020@2|Bacteria,2GISR@201174|Actinobacteria,4E0NJ@85010|Pseudonocardiales	201174|Actinobacteria	Q	Phosphopantetheine attachment site	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Beta-lactamase,Condensation,PP-binding
RMDv1_0000000033	1246995.AFR_22960	9.9e-89	337.0	COG4733@1|root,COG4733@2|Bacteria,2H7QD@201174|Actinobacteria,4DJZF@85008|Micromonosporales	201174|Actinobacteria	NU	Fibronectin type III domain	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	fn3
RMDv1_0000000034	400682.PAC_15720837	0.0	16924.0	2CAHM@1|root,2S38J@2759|Eukaryota,3AGB1@33154|Opisthokonta	33154|Opisthokonta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000035	246197.MXAN_3636	0.0	4843.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000036	765913.ThidrDRAFT_4649	1.34e-69	259.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1S1HJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin,Cadherin_3,DUF4214,DUF4347,He_PIG,HemolysinCabind,PATR,VCBS
RMDv1_0000000037	485918.Cpin_5094	2e-49	207.0	COG1472@1|root,COG3391@1|root,COG4932@1|root,COG1472@2|Bacteria,COG3391@2|Bacteria,COG4932@2|Bacteria,4PN87@976|Bacteroidetes	976|Bacteroidetes	M	Calx-beta domain	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000038	38833.XP_003056985.1	2.32e-144	521.0	2CY4D@1|root,2S1Y6@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	FG-GAP_2
RMDv1_0000000039	391612.CY0110_08276	5.11e-36	162.0	COG2304@1|root,COG3210@1|root,COG2304@2|Bacteria,COG3210@2|Bacteria	2|Bacteria	U	domain, Protein	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11,DUF4214,HemolysinCabind,SdrD_B,VWA,VWA_2
RMDv1_0000000041	592029.DDD_2081	4.16e-123	452.0	COG1361@1|root,COG1520@1|root,COG2373@1|root,COG2911@1|root,COG3170@1|root,COG4932@1|root,COG1361@2|Bacteria,COG1520@2|Bacteria,COG2373@2|Bacteria,COG2911@2|Bacteria,COG3170@2|Bacteria,COG4932@2|Bacteria,4NMB8@976|Bacteroidetes,1HYNW@117743|Flavobacteriia,3HJ80@363408|Nonlabens	976|Bacteroidetes	M	C-terminal domain of CHU protein family	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,DUF11,SdrD_B
RMDv1_0000000042	246197.MXAN_3636	0.0	6413.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000043	324057.Pjdr2_1410	0.0	1116.0	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000000044	324057.Pjdr2_1410	0.0	1102.0	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000000045	324057.Pjdr2_1410	0.0	1129.0	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000000046	1385517.N800_00455	3.11e-11	80.5	COG1404@1|root,COG4447@1|root,COG1404@2|Bacteria,COG4447@2|Bacteria,1MVIT@1224|Proteobacteria	1224|Proteobacteria	MU	K COG5665 CCR4-NOT transcriptional regulation complex, NOT5 subunit	-	-	-	-	-	-	-	-	-	-	-	-	BNR,Sortilin-Vps10
RMDv1_0000000047	1192034.CAP_4377	0.0	3172.0	COG3321@1|root,COG4221@1|root,COG3321@2|Bacteria,COG4221@2|Bacteria,1PXKK@1224|Proteobacteria,430EF@68525|delta/epsilon subdivisions,2WVY2@28221|Deltaproteobacteria,2YWBP@29|Myxococcales	28221|Deltaproteobacteria	Q	polyketide synthase	-	-	-	ko:K13614	-	-	-	-	ko00000,ko01004,ko01008	-	-	-	KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000000048	1192759.AKIB01000028_gene2028	0.0	3752.0	COG1572@1|root,COG1864@1|root,COG2931@1|root,COG3209@1|root,COG3210@1|root,COG3386@1|root,COG3391@1|root,COG5276@1|root,COG1572@2|Bacteria,COG1864@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,COG3210@2|Bacteria,COG3386@2|Bacteria,COG3391@2|Bacteria,COG5276@2|Bacteria,1MU7T@1224|Proteobacteria,2UHRC@28211|Alphaproteobacteria	28211|Alphaproteobacteria	FGMQ	CARDB	-	-	-	-	-	-	-	-	-	-	-	-	CARDB,He_PIG,Laminin_G_3
RMDv1_0000000049	15368.BRADI3G01780.1	1.48e-08	69.3	2902G@1|root,2R6XD@2759|Eukaryota,38APM@33090|Viridiplantae,3GSY9@35493|Streptophyta,3M9NM@4447|Liliopsida,3IMMB@38820|Poales	35493|Streptophyta	S	LRR receptor-like serine threonine-protein kinase EFR	-	-	-	-	-	-	-	-	-	-	-	-	LRRNT_2,LRR_1,LRR_8
RMDv1_0000000050	1237149.C900_04426	1.29e-23	122.0	COG1404@1|root,COG2133@1|root,COG2374@1|root,COG3291@1|root,COG3468@1|root,COG5492@1|root,COG1404@2|Bacteria,COG2133@2|Bacteria,COG2374@2|Bacteria,COG3291@2|Bacteria,COG3468@2|Bacteria,COG5492@2|Bacteria,4NJU9@976|Bacteroidetes,47NEJ@768503|Cytophagia	976|Bacteroidetes	Q	cell adhesion involved in biofilm formation	-	-	-	-	-	-	-	-	-	-	-	-	Big_5,PKD
RMDv1_0000000051	324057.Pjdr2_1410	5.68e-252	858.0	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000000052	485918.Cpin_5094	2.5e-49	207.0	COG1472@1|root,COG3391@1|root,COG4932@1|root,COG1472@2|Bacteria,COG3391@2|Bacteria,COG4932@2|Bacteria,4PN87@976|Bacteroidetes	976|Bacteroidetes	M	Calx-beta domain	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000053	1002339.HMPREF9373_0075	2.43e-09	74.7	COG2304@1|root,COG2911@1|root,COG2931@1|root,COG3121@1|root,COG2304@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3121@2|Bacteria,1MU7T@1224|Proteobacteria,1S3Q4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin_3,Calx-beta,DUF4114,HemolysinCabind,VWA,VWA_2
RMDv1_0000000054	388413.ALPR1_10680	6.84e-12	83.2	COG2373@1|root,COG2911@1|root,COG2982@1|root,COG3210@1|root,COG3637@1|root,COG3897@1|root,COG4932@1|root,COG2373@2|Bacteria,COG2911@2|Bacteria,COG2982@2|Bacteria,COG3210@2|Bacteria,COG3637@2|Bacteria,COG3897@2|Bacteria,COG4932@2|Bacteria	2|Bacteria	M	domain protein	oprH	-	-	ko:K02014,ko:K16087,ko:K20276	ko02024,map02024	-	-	-	ko00000,ko00001,ko02000	1.B.14,1.B.14.2	-	-	CHU_C,DUF4347,OMP_b-brl
RMDv1_0000000055	1392488.JHZY01000005_gene3704	1.82e-22	118.0	COG1520@1|root,COG2931@1|root,COG3291@1|root,COG4932@1|root,COG1520@2|Bacteria,COG2931@2|Bacteria,COG3291@2|Bacteria,COG4932@2|Bacteria,4PHW2@976|Bacteroidetes,1IG6W@117743|Flavobacteriia,2XJV6@283735|Leeuwenhoekiella	976|Bacteroidetes	MQ	Domains in Na-Ca exchangers and integrin-beta4	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta
RMDv1_0000000056	96561.Dole_0612	1.35e-185	659.0	COG2911@1|root,COG2931@1|root,COG3210@1|root,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3210@2|Bacteria,1MU7T@1224|Proteobacteria,42PQZ@68525|delta/epsilon subdivisions,2WMD9@28221|Deltaproteobacteria,2MNAP@213118|Desulfobacterales	28221|Deltaproteobacteria	Q	Hemolysin-type calcium-binding	-	-	-	-	-	-	-	-	-	-	-	-	FecR,HemolysinCabind,VWA_2
RMDv1_0000000057	246197.MXAN_3636	0.0	6956.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000058	68170.KL590499_gene4927	1.4e-56	231.0	COG2931@1|root,COG2931@2|Bacteria,2GR03@201174|Actinobacteria,4E8ZQ@85010|Pseudonocardiales	201174|Actinobacteria	Q	calcium- and calmodulin-responsive adenylate cyclase activity	-	-	-	-	-	-	-	-	-	-	-	-	An_peroxidase,HemolysinCabind,Peptidase_M91,fn3
RMDv1_0000000059	1454007.JAUG01000098_gene1475	3.61e-33	153.0	COG1361@1|root,COG2374@1|root,COG3121@1|root,COG3209@1|root,COG1361@2|Bacteria,COG2374@2|Bacteria,COG3121@2|Bacteria,COG3209@2|Bacteria,4NG16@976|Bacteroidetes,1ITFW@117747|Sphingobacteriia	976|Bacteroidetes	M	Domains in Na-Ca exchangers and integrin-beta4	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000060	1123518.ARWI01000001_gene1326	1.06e-79	307.0	COG2304@1|root,COG4254@1|root,COG4932@1|root,COG2304@2|Bacteria,COG4254@2|Bacteria,COG4932@2|Bacteria,1QU09@1224|Proteobacteria,1S7VE@1236|Gammaproteobacteria,461I1@72273|Thiotrichales	72273|Thiotrichales	M	domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000061	234267.Acid_6881	7.69e-05	59.7	COG1361@1|root,COG3534@1|root,COG4625@1|root,COG1361@2|Bacteria,COG3534@2|Bacteria,COG4625@2|Bacteria,3Y354@57723|Acidobacteria	2|Bacteria	M	PKD domain containing protein	-	-	3.4.21.50	ko:K01337,ko:K20276,ko:K21449	ko02024,map02024	-	-	-	ko00000,ko00001,ko01000,ko01002,ko02000	1.B.40.2	-	-	Autotransporter,DUF4347,Glyco_hydro_43,He_PIG,P_proprotein,Peptidase_S8,TIG
RMDv1_0000000062	485918.Cpin_3623	0.0	2425.0	COG2304@1|root,COG2373@1|root,COG2755@1|root,COG3209@1|root,COG5492@1|root,COG2304@2|Bacteria,COG2373@2|Bacteria,COG2755@2|Bacteria,COG3209@2|Bacteria,COG5492@2|Bacteria,4PKBQ@976|Bacteroidetes,1J0N1@117747|Sphingobacteriia	976|Bacteroidetes	M	conserved repeat domain protein	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11,SprB
RMDv1_0000000063	1343740.M271_40485	0.0	3131.0	COG3321@1|root,COG3321@2|Bacteria,2H477@201174|Actinobacteria	201174|Actinobacteria	Q	polyketide synthase	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_N,ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000000064	234267.Acid_6881	0.000383	57.4	COG1361@1|root,COG3534@1|root,COG4625@1|root,COG1361@2|Bacteria,COG3534@2|Bacteria,COG4625@2|Bacteria,3Y354@57723|Acidobacteria	2|Bacteria	M	PKD domain containing protein	-	-	3.4.21.50	ko:K01337,ko:K20276,ko:K21449	ko02024,map02024	-	-	-	ko00000,ko00001,ko01000,ko01002,ko02000	1.B.40.2	-	-	Autotransporter,DUF4347,Glyco_hydro_43,He_PIG,P_proprotein,Peptidase_S8,TIG
RMDv1_0000000065	400682.PAC_15710479	6.15e-129	468.0	29RY4@1|root,2RXCD@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	REJ,Tetraspannin
RMDv1_0000000066	1144275.COCOR_02357	0.0	5826.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria,2YTZA@29|Myxococcales	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	ko:K16416	ko01052,map01052	-	-	-	ko00000,ko00001,ko01008	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
